X144	X167	X511	X517	X608	X620	X654	X664	X671	X690	X704	X71	X711	X812	X838	X89	X147	X174	X492	X508	X605	X622	X651	X661	X668	X688	X702	X719	X80	X811	X817	X94	SRR1770734	SRR1770737	SRR1770738	SRR1770739	SRR1770742	SRR1770743	SRR1770744	SRR1770745	SRR1770746	SRR1770749	SRR1770752	SRR1770753	SRR1770755	SRR1770756	SRR1770758	SRR1770760	SRR1770761	SRR1770762	SRR1770766	SRR1770767	SRR1770768	SRR1770770	SRR1770772	SRR1770773	SRR1770775	SRR1770777	SRR1770778	SRR1770779	SRR1770782	SRR1770783	SRR1770785	SRR1770789	SRR1770790	SRR1770792	SRR1770793	SRR1770794	SRR1770797	SRR1770798	SRR1770799	SRR1770802	SRR1770804	SRR1770805	SRR1770806	SRR1770807	SRR1770809	SRR1770812	SRR1770814	SRR1770815	SRR1770816	SRR1770818	SRR1770820	CN0_1	CN0_2	CN0_3	CN30_1	CN30_2	CN30_3	CN60_1	CN60_2	CN60_3	CN90_1	CN90_2	CN90_3	IN0_1	IN0_2	IN0_3	IN30_1	IN30_2	IN30_3	IN60_1	IN60_2	IN60_3	IN90_1	IN90_2	IN90_3	A3.B1.1x	A3.B1.1z	A3.B1.4x	A3.B1.4z	A3.B2.5x	A3.B2.5z	A3.B2.8x	A3.B2.8z	A3.B3.12x	A3.B3.12z	A3.B3.13z	A3.B3.9x	A3.B3.9z	A3.B4.13x	A3.B4.16x	A3.B4.16z	A3.B5.17x	A3.B5.17z	A3.B5.20x	A3.B5.20z	KA1F	KA1U	KA2F	KA2U	KA3F	KA3U	CK1	CK2	CK3	N1	N2	N3
5	10	12	49	25	26	28	14	11	7	24	14	10	8	10	92	6	20	97	40	156	20	48	49	16	19	17	88	4	3	23	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	8	8	18	9	23	10	3	5	9	7	12	13	3	7	91	14	11	8	10	78	13	1	7	10	5	19	18	17	3	6	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
26	10	6	20	6	25	6	9	2	7	6	31	6	16	10	107	5	26	2	3	76	7	4	9	11	15	33	21	9	6	14	36	7	0	5	2	0	2	1	3	3	5	0	0	1	1	3	0	6	0	0	17	4	12	1	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	21	51	18	32	9	0	0	0	0	0	0
16	5	13	3	14	9	8	8	10	14	9	9	1	6	4	38	7	25	3	11	55	12	9	7	9	19	12	20	7	9	15	49	24	17	22	33	41	28	28	18	18	6	7	3	9	4	9	7	8	16	13	25	41	33	37	27	11	60	49	17	22	9	17	10	12	9	19	32	29	27	24	28	32	12	0	1	13	7	1	5	2	0	5	106	67	78	42	76	37	53	74	174	63	84	54	74	107	46	122	84	76	62	89	48	43	54	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	709	662	510	490	433	381	1	0	0	1	1	0
77	90	64	169	150	127	172	75	88	51	128	61	68	60	137	585	40	74	246	221	706	152	168	128	132	143	88	309	44	54	120	181	0	0	0	0	0	0	0	0	0	2	10	0	3	5	4	4	4	5	0	5	1	2	0	2	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	36	17	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	27	42	31	26	66	62	58	40	13	33	14	82	24	7	26	14	29	43	12	13	4	2	6	25	10	395	25	182	593	442	158
7	5	4	3	3	5	5	4	2	7	12	4	1	5	0	21	1	4	4	4	67	8	4	4	8	3	6	19	4	4	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	8	2	3	7	15	2	3	2	4	4	0
34	18	15	15	8	17	16	19	13	28	35	26	22	17	8	72	35	15	17	19	150	22	5	10	28	19	12	30	39	9	17	48	0	1	0	0	0	2	1	10	4	21	10	65	30	47	11	36	18	35	0	0	0	0	0	0	0	0	0	4	1	5	1	3	3	1	18	4	27	8	5	5	14	2	4	0	0	1	0	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	53	64	177	30	76	128	167	33	74	114	65	69	28	15	23	49	120	59	252	16	19	21	13	19	21	10	1	2	8	13	3
3	0	2	4	2	4	3	3	4	3	5	10	3	2	3	44	8	9	3	2	31	2	4	2	4	8	6	12	6	3	3	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	0	2	1	0	1	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	1	0	0	0	0	0	0	0
86	43	25	41	23	102	79	65	46	103	89	111	79	72	24	308	77	106	33	38	627	45	40	30	112	62	77	174	79	58	71	150	5	4	0	1	3	4	12	47	14	0	1	4	1	2	13	5	2	5	0	0	2	8	0	2	12	1	2	3	6	3	5	0	3	5	11	6	19	7	13	4	11	1	0	0	0	0	0	0	0	0	0	0	5	4	1	0	1	0	2	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14	9	43	9	3	3	8	93	11	12	11	37	22	16	5	10	13	14	13	34	173	75	101	79	101	130	27	11	31	84	38	17
9	5	5	2	1	0	0	0	4	0	4	8	4	1	1	30	7	1	4	2	18	0	0	3	1	1	0	0	5	1	25	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	1	9	3	2	0	9	1	1	1	0	3	0	0	0	0	1	1	1	2	8	5	3	2	4	0	0
43	6	7	3	14	39	22	12	21	14	21	25	24	10	17	119	38	36	17	26	122	38	11	22	25	21	39	68	17	8	20	29	7	4	7	4	7	3	6	4	1	0	0	0	0	0	0	0	0	0	11	0	7	6	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	4	9	6	4	13	5	33	138	64	11	42	10	14	23	84	20	43	98	8	15	6	7	1	16	4	5	2	1	4	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	584	485	477	427	446	566	6	2	8	4	11	2
4	0	7	4	4	14	2	17	6	4	12	0	9	2	8	22	3	5	6	5	42	4	2	1	12	15	17	15	0	3	3	8	0	0	0	0	0	0	0	0	0	0	0	2	4	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	16	21	26	4	57	15	16	29	5	35	14	86	5	5	49	8	18	13	13	2	1	0	3	1	3	36	3	25	62	38	16
181	210	1526	172	307	501	273	345	76	273	151	556	216	250	321	1479	290	408	280	224	2085	273	337	216	366	658	416	495	471	176	177	707	223	187	478	581	225	81	587	217	362	393	364	755	994	1132	338	564	346	236	46	76	48	28	41	19	41	51	64	72	21	27	17	35	14	7	4	64	19	7	41	11	17	6	97	169	29	113	274	154	195	137	347	6	5	9	0	13	7	4	9	4	6	1	2	3	10	15	1	5	5	5	6	5	0	8	5	30	3	13	4	6	16	4	0	9	3	4	6	139	6	2	4	5	4	13	2	395	179	125	157	218	151	40	14	24	71	34	15
8	4	2	6	4	8	3	2	10	20	11	5	6	1	5	57	1	1	3	1	43	2	3	8	5	7	22	25	22	5	10	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	6	14	5	45	8	7	4	8	17	10	3
17	4	6	10	7	23	15	19	9	21	9	23	22	12	19	108	5	12	3	13	154	4	13	6	22	17	15	27	10	38	11	58	1	3	4	7	6	0	13	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	11	3	5	2	0	8	2	0	0	0	3	3	0	0	1	0	2	0	98	120	92	58	98	96	7	3	5	19	5	0
3	0	0	0	2	3	0	2	0	0	4	0	2	1	0	3	0	2	1	0	10	4	1	2	0	0	6	3	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	6	3	2	5	7	8	1	1	7	3	2
31	24	12	17	23	30	14	23	40	41	33	47	23	17	39	216	27	25	20	29	219	25	26	27	36	46	46	107	12	16	23	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	6	3	2	3	5	11	51	11	5	7	2	5	3	12	4	5	13	4	10	0	0	3	3	2	0	0	1	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	53	31	18	9	12	5	2	6	3	11	2
