"OTU"	"Carey2015_1"	"Carey2015_2"	"Leff2015_1"	"Leff2015_2"	"Leff2015_3"	"Leff2015_4"	"Leff2015_5"	"Leff2015_6"	"Li2016_1"	"Li2016_2"	"McHugh2017"	"Obrien2016"	"Wang2017"	"Freq"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Sum_log2FoldChange"	"Mean_log2FoldChange"	"Binary_log2FoldChange"
"OTU_1"	-1.08747320437238	-0.666110933094364	-0.496268802622608	1.2279865494634	0.179056973888179	-0.105204111403987	0.211128420584303	0.623301718888165	-0.439117392359329	-0.161472277281472	0.451000046289216	-0.519444049276901	NA	12	"Verrucomicrobia"	"Spartobacteria"	"Chthoniobacterales"	"DA101soilgroup"	"Ambiguous_taxa"	-0.782617061297778	-0.0652180884414815	-1
"OTU_10"	0.0646797419845721	-0.0759013256319698	0.0689400244059403	NA	-0.335196224113974	0.871268041834936	0.564380534466297	-1.98581370997336	-1.6025446498422	0.239698783373419	0.245300579097937	-0.0170261603418454	-0.432562931077248	12	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Chitinophagaceae"	"unidentified"	-2.3947772958175	-0.199564774651458	-1
"OTU_1003"	NA	NA	-0.416935038512472	NA	NA	-0.419680912217981	0.295659756215378	NA	1.09842834754691	0.100724690156529	NA	0.0109220002800909	NA	6	"Acidobacteria"	"Subgroup2"	"unidentified"	"unidentified"	"unidentified"	0.669118843468455	0.111519807244743	1
"OTU_1004"	NA	-0.218417537773914	0.307473776576643	NA	-0.529230734961348	NA	NA	NA	-1.30807093763256	-1.11098941046422	NA	0.191775392374274	-0.760485180506176	7	"Acidobacteria"	"Subgroup6"	"unculturedAcidobacteriabacterium"	"unidentified"	"unidentified"	-3.4279446323873	-0.489706376055329	-1
"OTU_1005"	0.195339009806403	-0.354612619588221	NA	NA	NA	NA	NA	-0.154898599465747	-1.09811810802152	-0.95764977647748	NA	0.122897945882503	0.569070339391717	7	"Gemmatimonadetes"	"BD2-11terrestrialgroup"	"unculturedGemmatimonadalesbacterium"	"unidentified"	"unidentified"	-1.67797180847234	-0.239710258353192	-1
"OTU_1008"	0.784689810954114	0.350177948475459	-0.358090555568624	NA	NA	NA	NA	NA	-0.994506788386008	NA	NA	0.109870603582699	NA	5	"Gemmatimonadetes"	"Gemmatimonadetes"	"Gemmatimonadales"	"Gemmatimonadaceae"	"uncultured"	-0.10785898094236	-0.021571796188472	-1
"OTU_10099"	NA	NA	-0.574764612459307	NA	0.0595523680797232	0.588851134680827	-0.248475374198017	NA	-0.788056164684293	NA	NA	-0.368520848856317	NA	6	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	"unidentified"	-1.33141349743738	-0.221902249572897	-1
"OTU_101"	-0.299628025339857	0.46358535262128	0.299143839996827	0.535004759962056	NA	NA	-0.133571725207689	NA	NA	NA	0.278561599917795	-0.518334186953169	0.302424571080805	8	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Methylobacteriaceae"	"Microvirga"	0.927186186078048	0.115898273259756	1
"OTU_1010"	-0.247833626527094	0.216852041517216	0.563003464787312	NA	NA	NA	NA	NA	NA	NA	-0.0251089900220021	0.179194809826839	0.828966946944586	6	"Actinobacteria"	"Thermoleophilia"	"Solirubrobacterales"	"Elev-16S-1332"	"unculturedbacterium"	1.51507464652686	0.252512441087809	1
"OTU_10105"	NA	NA	NA	0.543721095490095	0.0940470446477259	0.778667720512869	-0.351759487631312	-0.835977480601287	NA	NA	NA	NA	NA	5	"Actinobacteria"	"Thermoleophilia"	"Solirubrobacterales"	"YNPFFP1"	"unculturedbacterium"	0.228698892418091	0.0457397784836182	1
"OTU_1011"	-0.530041529188164	-0.0759297973790781	0.0651370761727209	NA	1.42440605961848	NA	NA	NA	NA	NA	NA	-0.348759101312048	-0.0509202464832525	6	"Actinobacteria"	"Thermoleophilia"	"Gaiellales"	"uncultured"	"unidentified"	0.483892461428658	0.080648743571443	1
"OTU_10114"	NA	NA	0.0593715887486738	NA	NA	NA	NA	-0.334620814388378	0.265777211813579	0.62085196725176	NA	-0.214335394033437	0.631881056866707	6	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"Polyangiaceae"	"unidentified"	1.0289256162589	0.171487602709817	1
"OTU_10121"	NA	NA	0.363415771404735	NA	1.11669825242084	0.00728226202768214	-0.49157560505173	-0.427665786485724	NA	NA	NA	-0.50880703090128	NA	6	"Verrucomicrobia"	"Spartobacteria"	"Chthoniobacterales"	"DA101soilgroup"	"unidentified"	0.0593478634145232	0.00989131056908719	1
"OTU_1013"	0.654641183496073	-0.451824177509925	0.572854698679791	NA	1.09787226971327	NA	NA	NA	-0.0605692922441451	NA	NA	0.262505449896303	-0.0650298786188787	7	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"Sandaracinaceae"	"uncultured"	2.01045025341249	0.287207179058927	1
"OTU_1014"	NA	NA	-0.186147359177479	NA	-0.165959827859552	-0.323242389043034	-0.164654955060773	0.550045357634627	0.324804994205215	0.0761311179971543	NA	-0.192032290265195	-0.595744401708243	9	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"RhizobialesIncertaeSedis"	"Bauldia"	-0.67679975327728	-0.0751999725863644	-1
"OTU_10141"	-0.522165393038781	-0.170984722985602	NA	NA	0.322457633984859	-0.334145330874402	NA	0.462010896562538	0.0102073342681267	-0.562954057238165	NA	-0.140665496867518	-0.197550012289067	9	"Acidobacteria"	"Blastocatellia"	"Blastocatellales"	"Blastocatellaceae(Subgroup4)"	"RB41"	-1.13378914847801	-0.125976572053112	-1
"OTU_1015"	NA	NA	NA	NA	NA	-0.241769594291096	-0.522304233025756	NA	0.00599846690914437	0.459057308610355	NA	0.242798625782349	NA	5	"Proteobacteria"	"unidentified"	"unidentified"	"unidentified"	"unidentified"	-0.0562194260150037	-0.0112438852030007	-1
"OTU_1017"	-0.271678446252558	0.376829533376926	0.616022622465757	NA	0.210958974985556	NA	NA	0.582871884094723	-0.0829516122580036	0.0406189329119895	-0.0132603005549335	-0.00847831831682752	0.210287229048659	10	"Chloroflexi"	"TK10"	"unculturedChloroflexussp."	"unidentified"	"unidentified"	1.66122049950129	0.166122049950129	1
"OTU_1019"	-0.385680760298288	-0.182240238206284	-0.0498280515216373	NA	NA	NA	NA	-1.22500039668152	0.170378203252461	NA	NA	0.206597736437546	-0.12686053315185	7	"Acidobacteria"	"Subgroup5"	"unidentified"	"unidentified"	"unidentified"	-1.59263404016957	-0.227519148595653	-1
"OTU_1020"	NA	NA	0.779356544474239	NA	NA	0.218737138110704	NA	1.4255849621539	-0.947780998275605	-3.48755374799305	NA	-0.259420705153069	-0.171738192407517	7	"Proteobacteria"	"Betaproteobacteria"	"Rhodocyclales"	"Rhodocyclaceae"	"unidentified"	-2.4428149990904	-0.348973571298628	-1
"OTU_10209"	NA	NA	NA	NA	-1.01640792526251	NA	NA	0.0646142393453781	0.490914726657091	-0.43172685777566	NA	-0.30753014018682	NA	5	"Verrucomicrobia"	"OPB35soilgroup"	"unidentified"	"unidentified"	"unidentified"	-1.20013595722252	-0.240027191444504	-1
"OTU_10213"	NA	NA	-0.187245913036745	NA	-0.039889502029217	NA	0.303763603430214	-0.441830316139178	NA	NA	NA	-0.410569135755114	NA	5	"others"	"Chlamydiae"	"Chlamydiales"	"Parachlamydiaceae"	"CandidatusProtochlamydia"	-0.77577126353004	-0.155154252706008	-1
"OTU_1023"	NA	NA	0.639887019229495	NA	-0.786815551075048	NA	0.411017728968361	NA	-1.28481957879346	NA	NA	0.483361096932279	-0.932806504386864	6	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Hyphomicrobiaceae"	"Pedomicrobium"	-1.47017578912524	-0.245029298187539	-1
"OTU_1024"	NA	NA	0.540988227843931	NA	NA	0.552678829815921	NA	NA	1.82276877568637	0.0409451133039734	NA	-0.0171244680199708	NA	5	"Planctomycetes"	"Planctomycetacia"	"Planctomycetales"	"Planctomycetaceae"	"Planctomyces"	2.94025647863022	0.588051295726045	1
"OTU_10240"	NA	NA	-1.23117682680376	NA	0.919037378639573	0.30032445339974	0.479304070047842	NA	-0.827099890408125	-0.209671209231729	NA	-0.182535531772351	NA	7	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Rhodanobacter"	-0.75181755612881	-0.107402508018401	-1
"OTU_1025"	-0.804444469566732	-0.286346228522441	NA	NA	NA	NA	NA	NA	0.0387392021203046	NA	0.603339004781761	NA	0.02382377653552	5	"Nitrospirae"	"Nitrospira"	"Nitrospirales"	"0319-6A21"	"Ambiguous_taxa"	-0.424888714651587	-0.0849777429303175	-1
"OTU_1030"	-0.098514833293915	-0.102645046269959	-0.176879485833691	NA	-0.886601290341627	-0.351082980391792	-0.23672958723405	NA	NA	0.323725051046861	NA	-0.163827383689227	-0.448536337801395	9	"Verrucomicrobia"	"Spartobacteria"	"Chthoniobacterales"	"Chthoniobacteraceae"	"Chthoniobacter"	-2.14109189380879	-0.237899099312088	-1
"OTU_1031"	-0.122040551745478	-0.340862872014278	0.200703402626066	NA	NA	NA	NA	NA	-1.40690336838082	NA	NA	0.157950548961623	0.107044516290592	6	"Proteobacteria"	"Betaproteobacteria"	"unidentified"	"unidentified"	"unidentified"	-1.4041083242623	-0.234018054043716	-1
"OTU_1032"	NA	0.0450077168060883	NA	NA	NA	-0.419680912217981	0.430194727799132	NA	-0.0927322575686322	0.353498145989243	NA	0.143455311903505	NA	6	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"unidentified"	"unidentified"	0.459742732711355	0.0766237887852259	1
"OTU_1033"	-0.244021399190303	-0.0358485011322891	-0.273343693797662	0.197887500548642	NA	NA	NA	NA	NA	NA	-0.175085113722134	-0.0289875739136654	0.762062454371212	7	"Actinobacteria"	"Thermoleophilia"	"Solirubrobacterales"	"uncultured"	"unculturedbacterium"	0.2026636731638	0.0289519533091144	1
