	site_1	site_2	site_3	N_treatment_1	N_treatment_2
X144	Carey_1	clipped grassland	USA	Nitrogen	45
X147	Carey_2	non clipped grassland	USA	Control	0
X167	Carey_1	clipped grassland	USA	Control	0
X174	Carey_2	non clipped grassland	USA	Nitrogen	45
X492	Carey_2	non clipped grassland	USA	Control	0
X508	Carey_2	non clipped grassland	USA	Nitrogen	45
X511	Carey_1	clipped grassland	USA	Nitrogen	45
X517	Carey_1	clipped grassland	USA	Control	0
X605	Carey_2	non clipped grassland	USA	Control	0
X608	Carey_1	clipped grassland	USA	Control	0
X620	Carey_1	clipped grassland	USA	Nitrogen	45
X622	Carey_2	non clipped grassland	USA	Nitrogen	45
X651	Carey_2	non clipped grassland	USA	Nitrogen	45
X654	Carey_1	clipped grassland	USA	Control	0
X661	Carey_2	non clipped grassland	USA	Control	0
X664	Carey_1	clipped grassland	USA	Nitrogen	45
X668	Carey_2	non clipped grassland	USA	Control	0
X671	Carey_1	clipped grassland	USA	Control	0
X688	Carey_2	non clipped grassland	USA	Nitrogen	45
X690	Carey_1	clipped grassland	USA	Nitrogen	45
X702	Carey_2	non clipped grassland	USA	Control	0
X704	Carey_1	clipped grassland	USA	Control	0
X71	Carey_1	clipped grassland	USA	Nitrogen	45
X711	Carey_1	clipped grassland	USA	Nitrogen	45
X719	Carey_2	non clipped grassland	USA	Nitrogen	45
X80	Carey_2	non clipped grassland	USA	Control	0
X811	Carey_2	non clipped grassland	USA	Nitrogen	45
X812	Carey_1	clipped grassland	USA	Control	0
X817	Carey_2	non clipped grassland	USA	Control	0
X838	Carey_1	clipped grassland	USA	Nitrogen	45
X89	Carey_1	clipped grassland	USA	Control	0
X94	Carey_2	non clipped grassland	USA	Nitrogen	45
SRR1770734	Leff_1	grassland	Switzerland_frue.ch	Nitrogen	100
SRR1770737	Leff_1	grassland	Switzerland_frue.ch	Control	0
SRR1770738	Leff_1	grassland	Switzerland_frue.ch	Control	0
SRR1770739	Leff_1	grassland	Switzerland_frue.ch	Nitrogen	100
SRR1770742	Leff_1	grassland	Switzerland_frue.ch	Control	0
SRR1770743	Leff_1	grassland	Switzerland_frue.ch	Control	0
